rank,fame,deaths,accountAge,characters,skins,verified
35,10858,40,2920,8,4,1
71,499,125,365,3,5,1
68,16941,62,2920,8,45,1
74,8020,6,2555,2,12,1
66,20679,71,2920,8,34,1
39,763,106,1460,3,18,1
1,10,1,301,1,0,1
9,0,5,730,0,1,0
46,3281,177,274,3,6,1
60,9,2,365,2,1,1
57,11483,65,2190,6,13,1
45,5882,2,89,4,9,1
35,1660,89,1460,4,0,1
68,7361,50,2920,6,11,1
16,1280,112,1095,1,2,1
32,1167,71,381,2,2,1
28,2125,4,1095,1,0,0
4,989,0,1,1,1,0
77,10384,497,2555,6,45,1
31,26081,3,118,2,1,0
68,2580,114,238,4,6,1
49,3602,7,1095,2,2,1
80,12502,72,2190,6,20,1
72,845,1156,730,2,9,1
57,1953,7,301,2,6,1
80,7622,0,3285,9,6,1
45,304,149,2190,1,7,1
50,338,714,730,2,8,1
51,12645,0,2920,8,2,1
71,10628,1,47,3,1,1
23,7964,25,1825,4,0,0
30,597,1,730,1,2,1
69,3771,85,730,6,17,1
48,13543,1,43,6,7,0
79,10341,7,37,5,5,0
80,22899,280,755,10,5,1
58,112,662,298,2,5,1
79,1300,5,33,6,3,0
69,42010,78,1825,9,16,1
73,4290,3,378,3,2,1
73,3839,3,378,3,2,1
71,291,409,1431,1,34,1
53,7,1579,1825,1,12,1
15,2779,0,288,2,1,0
53,9163,77,2190,7,24,1
65,2634,65,1095,4,16,1
48,6417,269,1460,4,10,1
50,8515,402,730,4,7,1
45,303,7,1825,1,9,1
62,4638,19,1460,4,12,1
11,1978,106,730,3,1,0
29,3295,44,1825,1,2,0
29,3295,44,1825,1,2,0
23,7024,7,55,3,0,1
62,986,801,1460,3,22,1
36,656,227,337,2,5,1
64,11494,40,1825,9,13,1
49,4605,3,241,3,0,0
51,10838,0,2920,8,2,1
45,2272,25,1000,2,3,1
8,1112,2,1,1,0,0
12,362,2,347,1,0,0
50,3785,140,2190,4,5,1
39,10029,3,2555,4,4,1
30,5641,2,730,4,1,0
1,10,1,300,1,0,0
51,9740,25,2190,10,7,1
42,4353,36,1460,2,7,1
46,1930,190,247,2,2,1
1,10,1,300,1,0,1
9,0,5,730,0,1,0
0,0,0,365,0,0,1
65,22805,0,2920,9,0,1
53,17869,98,2920,6,10,0
66,3160,39,260,3,8,1
39,4185,92,2190,5,17,1
67,8983,32,42,5,7,0
61,950,10,1460,3,0,1
40,27,434,1460,3,4,0
75,4412,11,71,2,4,1
59,526,0,2920,4,7,1
58,511,369,365,1,5,1
63,34236,57,365,11,7,1
49,44389,0,2555,8,5,1
44,1688,2,1095,3,3,1
24,1307,2,1095,5,10,0
28,406,39,334,1,2,0
45,6466,67,1825,8,10,1
79,25495,39,3285,10,34,1
66,13911,88,1825,4,18,1
80,15152,82,1825,6,28,1
73,15323,0,3285,3,4,1
29,2268,0,279,4,5,1
63,2300,74,3285,5,12,1
50,14530,6,15,6,5,0
41,4175,5,36,6,6,0
10,1823,3,3285,1,0,0
33,463,73,154,1,3,1
33,351,524,1460,2,4,1
80,18738,88,1825,9,20,1
36,11886,20,2190,5,3,1
32,2242,6,1825,4,4,1
20,4222,2,162,5,4,0
9,1114,26,1095,2,0,0
38,3428,43,1460,5,3,0
71,4966,43,730,6,41,1
80,39523,440,2190,6,49,1
50,11441,4,29,3,0,0
68,7301,87,2190,8,6,1
11,2447,3,365,1,0,0
31,11,14,730,3,1,0
47,300,470,1460,2,28,1
69,5540,6,313,3,1,1
56,5174,2,730,2,1,1
39,8544,3,2920,3,0,1
33,1586,5,377,4,0,1
48,5320,39,2555,6,7,1
44,337,109,1095,1,1,1
75,935,295,1095,1,12,1
63,16551,27,2920,9,8,1
24,9813,29,2190,3,2,0
44,385,670,730,3,22,1
45,51,8,64,1,6,0
80,3032,162,2190,1,73,1
62,3623,32,2920,3,0,1
43,845,62,2190,4,6,1
57,932,518,730,2,27,1
44,24352,11,300,4,6,1
58,902,123,144,3,6,0
14,2240,2,1460,1,1,0
5,4297,0,37,1,1,0
80,42263,57,1460,14,56,1
35,458,52,54,3,0,0
40,1036,81,2190,3,10,1
15,726,2,1825,2,1,0
66,15102,9,2920,11,19,1
58,3894,74,2555,7,7,1
72,13786,105,167,7,26,1
80,65639,41,2920,7,20,1
68,7263,404,1095,4,33,1
46,794,59,49,2,6,0
73,930,937,382,1,5,1
65,871,23,271,1,6,1
52,7093,97,1825,5,7,1
35,337,182,1825,2,0,0
69,5554,88,2920,6,11,1
42,1426,202,211,4,2,1
57,9438,7,315,6,2,1
68,346,208,160,3,12,1
56,620,26,280,3,5,1
79,19268,50,2190,8,28,1
59,0,13,325,1,3,1
46,6061,57,2190,6,4,1
19,1324,3,360,1,0,0
75,245,266,2190,2,39,1
72,841,79,293,3,16,1
21,1043,2,7,3,2,0
75,35114,42,1825,8,54,1
61,380,199,730,1,5,1
45,229,77,176,1,3,0
40,464,157,1460,2,4,1
45,2181,14,1095,1,0,1
55,636,8,88,4,4,1
54,2527,90,2190,5,20,1
80,451,49,1446,3,3,1
69,27149,46,1503,4,16,1
59,3501,46,555,5,5,1
39,4256,56,730,3,0,1
56,1964,92,1825,6,14,1
80,59629,95,2920,7,12,1
62,697,223,1460,3,12,1
33,2995,2,131,2,2,1
26,494,5,36,3,1,0
19,25,2,161,3,2,0
75,9335,10,72,6,3,1
51,265,20,1460,1,8,1
70,5230,87,2190,8,17,1
43,10252,4,2920,9,9,1
42,6254,1,17,6,1,0
19,2858,0,8,4,1,0
41,6813,85,1095,6,13,1
10,433,2,47,2,0,0
72,244,502,730,1,23,1
50,283,121,118,1,5,1
20,224,2,1095,2,2,0
36,2817,78,167,8,8,1
36,743,24,276,4,2,1
47,610,48,2190,3,10,1
54,8767,42,2555,8,5,1
53,15751,47,940,6,6,1
16,2666,3,1450,2,0,0
63,10192,97,1460,8,13,1
20,1327,1,2190,2,0,0
39,10470,18,17,8,2,1
20,1354,1,42,5,4,0
48,12071,16,36,4,3,0
71,32434,52,2920,10,17,1
15,7403,2,5,2,2,0
56,861,418,1460,3,16,1
44,14727,4,2555,9,5,1
8,0,0,1460,0,0,0
80,71,515,1460,4,72,1
26,1120,24,19,4,0,0
44,15709,90,380,1,1,1
60,2049,136,85,5,2,1
65,23542,76,1825,5,11,1
52,3974,4,730,3,5,1
40,5919,259,2190,6,17,1
25,7999,528,2920,3,0,0
68,11372,257,2257,7,26,1
10,439,97,1460,2,1,0
32,2213,27,2555,4,1,1
80,21424,44,730,5,62,1
80,16358,1812,2190,6,49,1
57,12850,81,1830,11,13,1
48,9805,4,43,5,2,0
44,5552,372,362,2,7,1
28,1242,1,102,4,1,1
80,38774,77,2920,13,14,1
35,5395,1,39,4,4,1
47,6733,50,1507,2,0,0
42,1086,33,2190,2,4,1
57,774,2,50,5,3,1
34,13354,3,25,7,1,1
79,856,624,2555,1,21,1
25,2804,3,362,5,2,0
22,1410,0,282,1,0,0
21,12471,49,365,3,4,0
69,14142,3,1095,2,1,1
66,83,58,1131,3,20,1
57,1970,82,231,4,4,1
65,18470,13,48,4,2,1
56,610,539,730,4,6,1
80,2274,5,12,3,17,0
32,3983,4,2555,2,0,1
30,1440,3,9,3,4,0
24,310,339,2920,1,0,0
24,310,339,2920,1,0,0
24,310,339,2920,1,0,0
29,1369,184,1460,2,7,0
43,227,432,1460,1,11,1
69,3203,0,2920,5,7,1
77,13265,93,1417,4,14,1
73,0,308,2190,1,3,1
10,6162,3,2,2,0,0
