rank,fame,deaths,accountAge,characters,skins,verified
55,9223,56,489,6,4,1
42,5079,2,2196,7,2,1
54,768,199,2190,3,27,1
22,2948,18,274,2,1,0
73,21120,107,333,8,18,1
35,17351,49,2555,5,7,1
41,1782,74,365,3,1,1
55,1099,74,487,1,0,0
65,20294,24,2920,10,27,1
69,13319,39,1825,9,5,1
33,18573,1,365,5,4,1
56,8203,40,730,4,6,1
53,2073,227,1428,3,2,1
51,5154,25,1460,4,5,1
42,7649,6,1880,3,0,1
47,5504,5,1095,2,1,0
54,12145,49,1825,7,4,1
19,1382,1,61,2,1,0
49,2877,66,1460,4,4,1
56,5402,69,2555,4,2,1
80,13,213,730,1,52,1
27,7916,1,47,3,1,0
73,12516,0,2555,9,2,1
51,1413,71,1460,7,2,1
10,1306,1,365,1,0,0
54,6900,57,730,4,6,1
64,2246,287,152,1,16,1
59,2761,115,2920,2,5,1
76,718,411,365,2,23,1
76,718,411,365,2,23,0
65,39019,89,2555,8,17,1
28,1875,136,1825,8,3,0
19,675,11,730,1,2,0
35,4434,1,47,1,0,0
63,3688,54,2555,5,9,1
19,8938,37,25,1,0,1
80,12153,66,2920,4,6,1
78,10027,137,226,7,35,1
65,6065,69,2920,4,11,1
51,10485,29,1460,11,12,1
32,764,3,246,2,0,1
21,4643,3,12,3,1,0
55,11736,27,54,3,7,1
38,506,168,365,1,4,1
37,0,265,357,1,2,1
33,1023,265,531,6,17,1
41,1491,14,1825,3,0,1
80,28624,59,2190,10,19,1
73,531,158,1825,2,10,1
46,846,56,174,2,3,1
70,6882,78,730,2,10,1
11,225,3,240,2,3,0
29,1148,12,365,1,1,0
24,5664,28,1825,6,8,1
54,17267,23,2920,5,11,1
16,1823,2,365,2,0,1
61,1884,56,1095,2,22,1
43,8505,43,2920,4,3,1
63,383,173,2190,3,12,1
15,3665,0,1460,2,1,0
66,22428,85,261,7,5,0
18,2075,2,7,4,1,1
31,3551,3,1825,3,10,1
17,371,3,43,2,3,0
42,543,68,1095,2,0,1
36,1911,22,2920,2,3,1
50,6326,27,328,3,7,1
75,711,434,1825,1,20,1
28,2030,10,135,4,6,1
54,615,360,730,2,19,1
60,2518,20,236,2,0,1
57,7830,81,1460,3,3,1
62,2858,239,183,2,8,1
11,863,1,228,2,0,0
72,11671,55,1825,5,22,1
73,8531,2,490,2,3,1
72,8066,1182,2920,8,27,1
61,744,639,2555,2,23,1
56,1491,100,38,2,10,1
80,50235,97,2555,12,35,1
70,1106,40,1095,10,13,1
45,64,815,2555,1,4,1
47,233,283,2190,4,6,1
48,969,2429,2920,2,13,1
34,3846,44,2555,7,3,1
62,3565,60,212,3,12,1
48,1046,58,83,3,5,1
58,11902,241,300,3,3,1
8,4,8,194,1,1,1
34,1195,72,941,2,7,1
19,1217,6,165,3,3,0
43,8502,1,7,6,1,0
22,2328,9,29,1,0,0
22,2328,9,29,1,0,0
63,30858,15,1095,16,22,1
46,3925,35,2920,3,10,1
50,2033,61,182,3,4,1
36,297,71,2920,1,10,1
68,13321,39,77,11,16,1
74,4376,61,1432,5,21,1
65,5071,161,245,4,15,1
60,690,494,1095,2,12,1
42,558,114,1460,4,11,1
76,8266,23,365,5,2,1
47,3694,31,1460,2,1,1
24,3293,40,544,1,0,1
51,892,4,59,3,6,1
47,1076,88,1825,3,6,1
46,4158,54,35,2,1,1
65,38105,0,2920,8,25,0
65,10853,1032,2190,10,41,1
70,11932,69,242,5,3,1
45,1816,1837,2920,3,8,1
5,2267,0,5,1,0,0
54,5473,22,2555,5,18,1
45,1783,1837,2920,3,8,0
20,11198,4,15,1,0,0
43,882,1531,2190,1,16,1
46,3238,38,2920,2,8,1
80,9,2282,3285,1,84,0
66,5849,18,1460,4,6,1
41,9044,13,1825,1,1,1
30,422,3,13,2,0,0
73,21519,16,2190,9,18,1
49,266,370,537,2,5,1
19,0,71,1460,0,1,0
53,4050,104,168,4,5,1
66,665,242,1883,1,16,1
13,1066,2,162,1,0,0
36,524,667,2190,1,23,1
28,1525,34,27,3,2,0
58,6610,74,1825,4,7,1
29,1575,46,2190,3,2,0
42,3624,1,2555,9,21,1
71,3240,1,51,4,5,0
32,6172,2,11,5,0,0
58,982,190,730,3,11,1
50,2540,22,254,2,3,1
64,5452,76,99,2,10,1
41,2426,2,2920,3,5,0
43,24367,1,365,7,7,1
63,454,208,2190,1,6,1
76,578,82,476,2,7,1
29,1178,3,216,5,2,0
44,16044,2,552,7,6,1
80,251,273,2920,1,21,1
55,771,206,1460,5,19,1
66,10644,99,2920,7,9,1
28,2793,68,1825,2,9,1
52,35,256,1095,1,1,1
46,611,295,231,3,3,1
78,28739,93,207,8,18,1
26,776,9,45,2,0,0
24,346,19,170,4,0,0
58,17574,1,68,10,24,1
64,43592,86,2555,9,17,1
40,2938,203,317,4,8,1
70,9893,66,1460,6,11,1
32,1171,3,168,1,1,0
40,13836,4,2190,2,2,1
46,5882,41,50,2,1,1
9,1512,2,1095,3,0,1
71,2679,351,216,2,9,1
31,2326,133,220,1,2,1
37,3996,3,11,3,0,0
57,1552,98,205,7,2,1
32,6043,1,2190,3,5,0
52,3547,20,2920,1,0,1
32,5423,2,1825,4,2,1
51,11728,76,1825,13,30,1
55,25867,62,1460,10,10,1
50,3653,2,365,3,4,0
38,0,10,207,1,1,0
47,5112,4,55,3,0,0
66,22904,40,101,4,13,1
61,1345,375,2555,6,29,1
28,2947,1,1825,1,0,0
16,5820,3,6,2,0,0
45,5417,50,97,7,7,1
10,341,2,2,2,0,0
11,5351,1,14,2,0,0
75,44170,828,3285,10,10,1
51,112,148,2920,1,6,1
30,3575,2,14,3,0,0
10,3776,3,2,1,0,0
61,335,44,57,5,7,1
26,272,9,730,1,1,0
66,13258,326,193,3,15,1
66,0,251,332,1,5,0
61,6773,5,1460,2,0,0
67,319,326,1825,1,22,1
25,2415,6,1825,2,0,0
23,23519,130,1095,3,4,0
48,8574,14,67,4,4,1
42,2109,6,1825,2,3,1
51,1465,9,300,3,1,0
36,2340,3,757,1,0,1
57,2573,91,80,3,8,1
71,13058,76,2920,14,23,1
15,3572,2,11,2,1,0
24,1622,49,1095,2,5,0
31,1282,2,20,4,2,0
71,29711,38,2190,7,13,1
18,1458,2,29,3,1,0
51,23767,2,1825,7,1,1
31,3929,10,479,1,5,0
57,17841,10,730,3,4,1
3,513,1,1,2,0,0
49,981,1131,2555,2,13,1
47,355,93,1448,1,13,1
54,491,196,1460,2,6,1
32,564,98,2555,2,11,1
27,3322,42,2555,2,5,0
52,1025,98,2920,2,3,1
42,4628,35,548,6,8,1
5,482,1,365,2,0,0
62,3478,32,365,6,15,1
72,2428,69,1460,2,9,1
29,1983,0,730,1,1,0
13,438,2,236,2,0,0
73,3778,80,42,2,11,1
52,498,596,1460,2,11,1
64,26,1155,2190,1,43,1
4,9,2,7,1,0,0
20,442,1,19,4,1,0
74,877,642,2555,1,21,1
49,463,240,2920,3,9,1
9,5697,0,181,2,0,0
64,21913,13,1460,4,6,1
36,1838,9,730,2,1,1
22,2586,4,33,2,0,1
55,2111,1440,730,3,31,1
13,973,0,2190,1,1,0
74,24094,68,1460,10,17,1
14,8022,2,1825,1,0,0
39,897,92,126,2,3,1
33,2472,2,951,3,0,1
80,70612,693,2920,16,36,1
41,2230,144,1095,4,16,1
67,333,369,1460,3,12,1
60,2128,200,150,7,13,1
30,8084,2,18,3,0,0
56,7615,27,70,5,19,1
43,8026,22,730,9,9,1
22,571,39,1095,2,2,1
17,50,1,48,3,5,0
68,9405,661,1421,9,77,1
66,12576,227,181,4,18,1
26,2906,83,44,4,10,0
47,4115,2,28,6,9,0
21,156,3,7,3,0,0
58,5587,66,2555,3,14,1
27,5741,5,16,5,0,0
75,35096,34,540,11,16,1
27,13118,6,1095,4,1,0
76,860,331,299,2,12,1
32,6770,21,1460,2,1,0
6,1167,3,384,1,1,0
53,675,141,1095,2,5,1
29,1816,31,2920,8,7,1
32,0,310,1095,0,2,0
80,33754,57,222,15,22,0
40,21321,92,1460,4,11,1
25,5022,3,23,2,1,0
37,6088,30,2555,4,3,1
58,5125,99,1460,4,3,1
49,914,19,365,2,0,1
51,20219,12,2555,5,10,1
33,606,2,9,2,0,0
61,636,51,52,2,9,1
64,960,1544,2920,2,39,1
37,3646,66,33,3,2,1
36,389,45,1010,2,2,0
65,7229,89,2920,13,48,1
77,231,48,1825,1,15,1
26,2992,1,140,2,2,1
80,0,437,2920,0,38,1
32,4394,5,2190,2,4,1
29,884,2,365,1,2,1
29,2289,3,1460,3,1,1
54,22840,21,2920,15,10,1
67,4691,0,2920,3,1,1
21,3338,3,161,1,4,1
68,24955,240,2920,8,8,0
35,2055,246,240,2,2,1
79,37651,309,1454,15,15,1
30,2642,8,1095,4,2,1
27,4604,1,17,3,2,0
80,0,932,1460,0,79,1
31,6473,24,207,2,2,1
56,398,147,240,2,17,1
36,10424,72,1095,7,7,1
36,9152,25,19,2,0,0
41,0,215,1825,1,6,0
37,768,58,2190,2,12,1
47,2439,63,1460,2,9,1
26,5507,1,9,4,1,0
51,359,64,179,2,5,1
56,627,782,1095,3,27,1
21,98,51,74,2,8,1
36,2646,1,730,2,1,1
51,2910,75,217,5,6,1
60,11155,102,218,4,7,1
32,2284,22,150,3,3,1
21,1761,51,1825,3,3,1
45,9400,2,2555,2,0,1
32,6805,3,46,4,3,1
32,2026,60,46,4,5,1
59,22,54,266,1,3,1
45,4689,5,25,3,1,0
74,22674,57,365,14,27,1
21,344,3,115,5,1,0
24,1320,16,730,1,0,0
43,8120,76,2555,3,5,0
19,2671,9,2555,1,0,0
45,681,36,199,2,0,0
65,8120,57,730,11,5,1
35,17610,3,730,4,3,1
23,522,2,123,1,0,1
46,7192,76,2920,5,2,1
24,2765,2,1460,1,0,0
51,6157,162,44,6,17,0
70,32145,85,179,3,3,1
31,32413,24,2555,3,0,0
36,8749,32,365,2,1,1
43,1733,54,75,4,5,0
79,24701,528,2555,6,38,1
64,8011,63,1460,12,54,1
67,4131,50,1008,3,8,1
80,521,228,365,1,1,1
32,2431,3,730,2,3,1
42,7753,42,1095,7,3,1
80,0,162,267,0,82,1
14,9377,2,1460,3,1,1
8,163,0,1,9,0,0
60,799,519,2920,2,28,1
74,7016,1,60,5,4,1
80,5250,4,60,5,9,1
66,11358,264,730,3,21,1
22,2813,0,12,3,0,0
67,651,296,2190,3,27,1
62,12607,330,2190,4,21,1
23,457,0,2190,2,3,0
27,8922,1,20,4,2,0
64,470,985,2920,2,29,1
61,812,315,2190,1,18,1
62,4126,418,312,2,12,1
64,534,249,1407,1,28,1
63,541,365,2190,1,16,1
42,2479,4,365,5,3,0
28,6692,2,2555,2,2,0
37,3636,57,1095,4,6,1
68,826,1104,1508,2,24,1
67,23963,21,31,8,7,0
65,48199,20,342,10,5,1
27,4250,204,1095,1,4,1
71,0,49,206,1,11,0
59,6648,142,170,3,2,1
52,5836,92,2920,3,3,1
79,6946,80,247,3,6,1
57,6815,16,54,3,7,0
48,524,113,730,1,0,1
41,7464,90,1460,3,8,1
23,3855,41,118,3,2,1
22,5294,1,356,9,0,0
63,21626,480,2555,5,13,1
35,5903,1,1095,4,2,1
42,16695,93,2555,6,2,1
37,12551,77,2190,8,18,1
40,4109,10,2920,3,1,0
67,6511,67,2190,5,28,1
9,589,1,188,2,1,0
72,45181,8,54,15,17,0
36,3705,31,1095,5,10,1
52,25374,2,27,3,4,0
80,26686,81,3380,14,16,1
34,4110,2,1825,3,1,1
63,13257,47,2190,3,9,1
25,2413,17,1095,1,0,0
37,5166,14,1095,1,8,1
34,2964,6,1825,3,0,1
24,6837,29,60,3,1,0
53,23962,23,99,4,0,1
53,23962,23,99,4,0,0
67,0,122,3007,1,18,1
58,19598,32,1095,10,6,1
36,8797,5,2920,8,1,1
26,460,2,49,2,1,0
60,341,479,944,1,17,1
53,7,236,2190,2,6,1
41,0,365,2190,0,6,0
9,1495,1,2190,1,0,0
37,15079,2,33,5,6,0
60,0,477,943,1,17,0
53,1618,40,2190,3,0,1
42,3394,3,34,8,17,1
49,5096,97,365,2,10,1
12,13,3,1460,1,0,1
78,5799,468,2920,4,10,1
74,36365,47,195,8,12,1
6,1080,1,1425,1,1,0
31,3201,1,358,8,11,1
56,3363,121,40,3,5,1
75,0,600,1825,0,48,1
69,8011,55,488,3,11,1
18,3948,2,6,2,0,0
49,13080,61,1095,4,5,1
41,1272,47,533,2,6,1
51,4021,86,365,5,8,1
18,3300,2,16,2,1,0
43,3457,90,1460,4,10,1
66,317,13,1095,4,4,1
80,189617,924,2555,16,112,0
41,937,238,1095,3,3,1
58,3215,1,3285,2,0,0
36,9666,33,342,4,5,1
39,1837,77,365,3,3,1
36,13548,34,987,4,5,0
36,3244,3,382,9,15,1
11,5976,1,18,2,1,0
60,11972,42,1460,10,17,1
48,3978,94,1460,5,16,1
4,803,0,1,1,1,0
44,896,78,2920,2,15,1
53,582,2,1095,2,1,0
43,361,64,2190,1,1,1
68,10719,145,263,5,8,1
21,1897,21,192,1,0,0
38,1766,3,1825,1,0,0
61,816,3,59,3,13,0
28,5209,2,14,4,4,0
21,7612,2,365,4,0,0
64,14168,3,730,7,15,1
39,5046,42,1095,3,2,1
75,37738,23,365,12,9,1
47,2730,8,310,2,6,0
19,2759,11,6,3,0,0
16,15,2,1460,2,0,0
7,701,3,365,1,0,0
67,25,426,730,3,11,0
23,1143,4,730,1,0,0
57,1144,79,158,3,4,1
50,4367,55,183,8,16,1
38,13559,11,243,3,5,0
23,691,2,222,4,0,0
67,3160,35,730,3,12,1
41,585,3,981,2,1,0
27,4573,60,1095,4,2,0
65,4071,481,2190,3,18,1
52,4134,89,1095,3,8,1
61,15819,191,3285,7,12,1
35,3317,68,2190,2,4,1
58,3717,481,2190,3,25,1
69,7358,50,1095,3,9,1
55,3309,31,50,5,6,0
32,3575,78,2555,1,2,1
67,1224,85,2920,2,8,1
21,5892,2,231,3,0,0
48,2207,35,39,4,7,0
39,5497,15,149,3,0,0
55,6130,86,1427,5,10,1
52,542,224,2190,2,30,1
29,15597,2,1830,3,0,1
27,1315,125,1504,4,1,1
33,3690,2,69,5,0,1
39,1481,4,1460,1,0,0
16,586,2,327,1,0,0
45,934,130,13,2,6,1
44,4237,193,248,4,9,1
64,28436,152,2920,7,17,1
80,409,1048,2190,4,49,1
39,4712,14,2920,6,3,1
76,21452,60,3285,10,14,1
28,1430,89,1095,2,8,1
16,4843,62,381,3,0,1
39,1468,13,60,1,0,0
40,3960,60,2555,6,8,1
30,2239,5,2190,3,3,0
66,28219,593,2920,10,26,1
58,1242,75,2920,4,9,1
31,2849,68,90,3,3,0
46,17492,55,2920,7,10,1
43,2241,56,730,4,7,1
46,2026,3,14,3,2,0
31,704,70,135,2,2,1
2,25,2,966,1,0,0
17,0,6,38,0,2,0
80,9437,1031,1825,9,52,1
31,762,8,365,1,5,1
71,11905,31,2555,6,14,1
57,10961,22,1825,4,6,1
36,2745,53,730,2,4,1
52,19,1028,1825,1,23,1
56,65,795,2555,1,26,1
32,2694,7,160,1,1,0
16,0,274,98,1,2,0
55,918,125,2555,2,6,1
68,21495,87,2555,5,4,1
35,6806,137,2555,3,3,1
25,8264,37,1825,2,3,1
2,312,0,5,1,0,0
50,252,196,365,2,7,1
44,5165,81,730,4,4,1
66,7543,143,261,3,8,1
51,2515,57,2555,3,11,1
18,3634,3,365,1,0,0
57,4186,96,2920,3,35,1
46,1232,37,365,3,2,1
22,15911,0,9,5,2,0
50,22,6,26,2,1,0
50,994,49,173,3,5,1
49,15812,1165,3379,9,16,1
43,5343,24,1095,9,22,1
61,5098,3,730,6,15,1
56,8956,3,730,3,4,1
36,2446,3,18,5,2,0
39,8651,41,1095,7,2,1
32,1790,3,365,2,2,0
31,4813,18,175,3,2,0
18,1508,3,62,4,2,0
24,14245,24,62,5,3,1
34,2274,29,39,4,8,1
48,3513,71,2920,3,4,1
78,506,826,1460,6,39,1
44,516,342,1825,3,20,1
31,2983,47,89,4,5,1
54,979,809,2555,6,11,1
39,1372,4,14,3,2,0
24,7773,3,10,3,1,0
39,5629,20,224,3,5,0
28,2639,5,730,1,3,0
41,4063,4,1825,5,2,0
48,1272,3,39,2,5,0
13,7251,0,3,4,0,0
65,205,97,110,3,9,1
71,558,558,2920,3,32,1
69,529,69,211,3,12,1
37,361,166,196,1,2,1
35,11168,29,365,5,0,1
43,2992,73,1825,1,2,1
58,9605,72,2920,4,12,1
59,3310,7,1825,4,27,1
74,6667,126,219,7,10,1
39,2623,93,263,1,1,1
54,435,11,1422,1,3,1
49,4373,36,172,4,0,1
51,2708,4,730,2,3,1
70,8456,48,2555,6,11,1
25,17305,1,18,6,2,0
41,3474,3,282,2,2,1
27,364,46,1460,1,2,0
7,0,2,7,1,0,0
73,24069,45,104,6,9,1
63,713,582,1095,3,23,1
51,178,13,15,1,1,0
52,6188,48,1825,5,8,1
34,2119,2,14,4,2,0
41,540,230,1460,3,8,1
55,705,52,93,2,7,1
19,0,2,1460,1,1,0
43,8591,32,730,5,1,1
0,0,0,1,1,0,0
29,395,3,14,2,0,0
38,1588,41,1095,1,5,1
17,6448,0,1460,3,0,1
57,7361,81,1825,5,29,1
42,6185,4,1095,1,1,0
64,644,82,2555,7,17,1
32,10486,11,198,4,3,1
14,1831,3,1460,3,0,0
35,15212,7,92,4,10,1
57,4625,5,21,5,9,0
63,4600,52,2920,5,2,1
22,1847,1,2190,1,1,0
27,1830,171,1460,1,0,1
24,3290,23,155,2,0,1
28,3996,3,23,2,0,0
69,16683,86,148,6,14,1
32,4279,2,25,2,1,0
4,1698,0,1,1,0,0
80,30342,94,2190,15,39,1
43,857,176,2190,3,12,1
46,8786,27,165,9,24,1
5,890,2,9,1,1,0
60,581,1317,1460,3,20,1
22,1234,45,1424,2,9,1
38,2232,2,1825,3,4,1
30,1635,16,2190,1,1,0
35,8441,13,2634,1,2,1
19,2131,2,338,1,0,0
58,1877,0,2555,2,3,1
64,147,203,1095,5,45,1
43,699,30,19,2,0,0
56,23522,82,2555,5,17,1
71,18318,64,1095,8,11,1
64,20903,57,88,5,14,1
18,1097,3,365,2,0,0
18,784,3,12,1,3,0
80,50831,43,1095,16,43,1
20,1799,1,5,11,1,0
28,926,27,3285,4,3,1
33,333,137,2555,1,5,0
56,0,762,321,0,5,1
41,1716,48,2920,3,0,1
58,9394,187,142,2,1,1
42,5762,10,1825,4,8,1
64,3021,607,271,5,23,1
65,11166,4,51,6,19,0
56,709,1261,1095,2,21,1
41,7783,18,2190,4,5,1
67,9595,6,730,3,0,0
47,4032,97,1405,1,7,1
44,3135,58,1095,1,4,1
68,29894,549,1460,5,17,1
44,7820,20,1460,9,17,1
62,818,202,2555,2,33,1
60,682,138,339,2,14,1
25,1218,2,8,2,2,0
8,1321,3,1095,3,1,0
56,3450,6,2190,3,5,1
49,6635,12,46,4,6,0
54,1530,41,1825,2,10,1
41,3511,2,55,3,3,0
67,8488,47,2920,4,4,1
24,3636,28,1460,5,1,1
38,303,2,23,1,2,0
80,52605,9,215,6,12,1
37,6294,1,1433,6,3,1
22,2004,0,2920,3,1,0
60,11396,240,308,6,10,1
46,495,178,730,1,2,1
18,847,18,15,5,2,0
31,5380,82,221,3,5,0
31,391,343,1825,6,11,1
15,1770,2,730,1,0,0
21,1032,0,365,2,0,0
33,3287,86,2555,3,5,1
11,703,2,289,1,0,0
47,2331,67,1825,2,1,1
58,308,305,2920,1,1,1
49,827,1130,730,2,12,1
69,5991,3,241,2,2,1
0,0,0,365,0,0,0
51,10461,51,321,7,9,1
80,89505,73,2555,11,29,1
21,0,21,730,0,0,0
21,0,21,730,0,0,0
60,5102,40,730,5,6,1
21,5042,2,56,4,1,1
46,7870,42,1460,5,4,1
77,20295,5,1825,9,8,1
59,828,178,1460,2,19,1
25,7765,64,1095,4,7,1
26,5108,0,3384,4,0,0
45,2262,419,159,5,8,1
29,4000,6,2920,10,5,0
61,12105,72,1020,9,9,1
80,12159,190,133,4,8,1
55,662,598,730,2,19,1
5,4142,1,5,1,0,0
34,2890,3,19,1,0,0
39,611,143,2190,2,5,1
30,917,142,1460,2,5,0
56,6057,54,2190,5,9,1
58,2011,88,2555,6,26,1
27,366,12,1460,3,3,0
79,0,896,1095,1,23,1
77,31551,630,2920,16,79,1
57,12419,28,3381,7,12,1
40,3134,57,2190,9,17,1
80,48481,90,1825,16,44,1
37,5482,83,2555,2,6,1
42,1925,1,2555,2,6,1
66,5038,18,26,3,9,1
64,7010,4,57,5,7,1
21,805,11,12,1,1,0
43,5306,77,89,4,7,1
79,23441,24,328,4,22,1
34,4263,6,89,3,4,0
26,1682,59,1460,2,1,0
54,12068,18,1825,2,1,1
57,19072,41,2190,8,17,1
80,41667,96,1460,16,66,1
47,1338,11,1460,2,4,1
39,2300,16,36,3,6,0
48,706,106,1825,5,8,1
25,3036,0,730,2,3,0
51,1214,42,502,2,2,1
26,3685,81,1825,1,2,0
31,532,339,1825,7,11,0
22,453,1,2190,2,0,0
78,31044,94,3380,10,24,1
30,2918,9,1460,4,1,0
46,24075,86,1460,4,6,1
12,441,4,64,3,0,0
42,3350,212,1408,2,2,1
47,7270,32,117,3,10,1
23,1459,31,560,3,4,1
28,1559,16,79,2,1,0
31,7307,9,1132,2,3,0
47,15504,2,2555,5,10,0
37,2516,4,13,2,3,0
6,97,1,1,2,0,0
63,16558,146,81,4,8,1
33,16032,2,1460,9,5,1
38,406,224,2920,1,2,1
80,24046,98,2190,12,62,1
48,18423,89,2920,8,12,1
42,14538,45,2920,9,11,1
12,2242,1,233,2,0,0
27,6463,3,122,7,5,0
23,3111,3,730,2,2,0
13,4516,6,1095,1,0,0
24,9945,5,13,2,0,0
13,259,4,10,1,0,0
62,4514,260,107,4,21,1
27,18692,8,1459,6,0,0
50,7650,96,1416,3,9,1
51,4304,3,59,2,2,0
26,3658,16,1825,5,4,0
74,22974,83,200,9,8,1
31,284,2,1406,1,1,0
76,36992,50,730,16,41,1
80,16531,2,60,8,5,0
53,866,487,2190,4,12,1
59,3182,211,343,4,30,1
13,1880,2,13,3,3,0
28,1584,1,1460,3,0,0
61,20123,0,2555,8,1,1
14,1444,1,17,1,0,0
32,0,203,1825,1,3,0
55,14059,1,22,7,1,0
80,2909,2,730,3,8,1
49,223,753,1825,1,7,1
42,22995,73,730,10,6,1
16,1305,14,1095,4,2,0
30,9319,36,2190,7,15,1
39,1446,34,3294,3,12,0
9,3035,2,6,2,0,0
37,12198,2,2555,5,6,0
30,4057,3,15,2,0,0
68,16525,74,2920,16,69,1
28,1393,2,169,1,4,0
44,14695,10,2920,7,2,0
40,774,97,73,3,4,1
30,943,6,1095,2,0,0
36,1889,14,69,2,3,0
52,8862,64,73,4,6,0
80,87,130,2555,5,19,1
48,6554,83,1460,6,6,1
56,23858,14,2920,8,5,1
40,3679,39,1460,1,14,1
41,394,55,2555,2,12,1
58,12379,0,2920,8,9,0
64,15223,42,2190,8,9,1
5,1067,1,730,3,3,0
44,7858,61,365,4,5,1
61,6930,218,167,3,17,1
54,308,509,2190,1,23,1
56,8586,52,730,7,10,1
53,328,514,365,1,5,1
30,2548,3,62,3,3,1
43,2900,71,730,2,11,1
58,6430,30,3007,6,4,1
32,10458,1,1460,5,4,1
70,14062,44,730,7,8,1
13,2488,2,29,2,1,0
77,10596,47,1095,9,22,0
71,3064,556,730,3,25,1
43,886,160,1825,1,15,1
52,5296,17,2920,3,12,1
43,9468,22,2555,9,13,1
28,877,2,169,1,4,0
20,6923,1,508,2,4,0
18,953,4,6,2,0,0
66,1101,67,1013,3,9,1
57,846,83,1095,1,17,1
7,2270,1,1420,1,1,0
24,4361,4,1134,1,0,0
55,19466,30,72,5,4,1
80,43479,15,1882,16,10,1
31,872,29,1455,4,13,1
26,1048,1,168,1,4,0
55,772,177,1460,1,19,0
55,772,177,1460,1,19,1
11,23,1,45,1,1,0
56,16439,30,1095,9,4,1
59,254,486,1825,1,9,1
55,512,177,1460,1,19,1
79,2738,16,1095,2,2,1
55,8920,32,192,5,3,0
50,713,118,338,2,7,1
53,3902,114,87,8,13,1
53,8913,50,2920,10,16,1
59,799,461,753,1,17,1
9,811,2,128,1,0,0
57,10216,98,1825,7,10,1
1,0,1,2,1,0,0
60,10348,13,1825,8,10,1
30,2945,32,384,3,2,0
50,562,205,83,2,8,1
25,929,4,8,3,1,0
56,3564,4,8,3,3,0
16,2939,4,1460,4,1,0
4,334,3,1408,2,0,0
22,1680,2,104,2,9,0
49,7153,13,320,4,2,0
80,21,591,2920,3,18,1
41,5921,16,64,10,6,1
2,230,2,196,1,0,0
5,3920,1,3,1,1,0
29,4268,6,1130,2,3,0
55,554,2,48,1,7,0
34,8345,84,2920,3,3,1
29,8768,1,13,8,4,0
55,3266,1,9,3,2,0
53,2883,2,56,5,15,1
51,362,334,1460,1,5,1
32,7314,2,40,4,1,0
36,2351,63,730,8,14,1
28,2983,66,1825,3,4,1
19,11,2,1449,1,1,0
45,4901,53,175,3,1,1
51,3641,12,28,3,7,0
62,11137,3,24,2,2,0
37,2697,49,26,2,0,1
23,7018,2,1460,2,3,0
23,7018,2,1460,2,3,0
9,2842,2,2,1,0,0
4,1937,0,1,1,0,0
32,17507,3,1825,4,7,0
56,12360,137,365,5,8,1
51,37087,146,994,8,28,1
43,10150,8,2555,3,0,1
32,6245,24,730,4,6,1
54,16492,70,185,3,1,1
40,14771,16,526,6,6,1
64,8664,11,22,3,9,1
67,13401,194,201,5,4,1
42,13251,3,53,7,0,0
44,19517,68,2920,10,15,1
57,523,184,1825,1,7,1
71,4617,432,1460,2,51,1
38,1278,44,1028,3,2,1
54,0,732,315,1,4,0
62,7944,73,2920,8,14,1
27,3130,8,1460,6,7,0
46,19798,6,42,6,9,1
24,17385,3,1095,4,2,1
23,0,172,730,1,0,0
20,4951,15,45,3,0,1
48,16079,129,347,6,14,1
35,8929,2,1460,2,1,1
25,2801,113,2190,4,3,1
51,2703,21,291,3,2,1
56,15734,60,2920,7,20,1
73,7240,37,365,5,6,1
43,5318,74,730,1,4,1
65,1748,0,2920,5,7,1
44,11010,12,2920,8,6,1
48,3569,13,348,3,8,1
33,494,63,2190,3,1,1
34,508,23,53,2,4,0
45,724,151,2256,2,19,1
55,3069,62,235,4,15,1
73,12521,3,39,12,12,0
50,32438,3,22,5,4,0
43,4893,39,2920,8,4,1
33,1135,10,185,2,0,0
51,15840,33,1460,3,7,0
80,17966,72,1095,11,24,1
48,9549,70,2190,10,17,1
31,10504,3,38,3,3,0
70,25836,67,248,9,24,1
29,7977,2,1501,2,3,0
40,1030,32,122,5,3,0
46,2607,1,194,5,2,1
27,2461,0,2555,1,0,0
60,3740,97,85,4,11,1
59,514,461,751,1,17,1
78,35011,758,1095,11,26,1
48,6008,76,2555,6,8,1
45,11807,47,2920,10,10,1
35,1220,31,2920,4,1,1
41,837,139,1825,4,13,1
15,493,2,730,2,0,0
50,10767,62,730,6,17,1
16,0,4,2190,1,0,0
23,13558,3,1095,4,2,0
49,17218,76,66,5,35,1
57,9079,117,105,4,11,1
48,13872,54,2190,9,9,1
54,8066,0,2920,2,2,0
51,6196,79,1095,3,9,1
32,3895,3,74,3,3,0
33,0,221,1460,0,11,0
62,2547,62,1460,2,2,1
55,2617,102,231,6,9,1
50,4679,4,1460,3,4,0
42,3262,16,2555,2,4,1
37,6440,12,1126,3,3,1
12,1559,69,2555,1,1,0
55,1430,62,234,4,15,1
74,24605,48,730,10,7,1
25,339,176,104,2,3,0
69,33666,142,285,8,28,1
69,33666,142,285,8,28,0
66,5857,40,233,5,4,1
68,12520,39,2190,7,15,1
49,3316,46,1405,3,1,1
43,16750,2,27,3,5,1
66,34682,5,523,9,6,1
40,5646,57,1460,3,2,1
48,5717,3,1825,4,0,1
48,11992,29,730,5,7,1
49,6904,63,1460,5,1,1
